Current_Loan_Expenses_(USD),Property_Age,Loan_Amount_Request,Credit_Score,Profession,Loan_Sanction_Amount,Property_Price,Income_USD
-0.722679713,-0.464823086,-0.269478868,0.992493271,0.834972667,0.148001976,-0.12578229,-0.464145511
0.417484872,2.136142761,-0.707869868,0.578135933,0.834972667,-0.20928812,-0.82983917,2.120004308
-1.032103722,-1.278618623,-0.728874973,1.330799486,-0.686548297,-0.230044146,-0.639083276,-1.272679615
-0.465490308,-0.214877628,-0.147131973,1.324378659,-0.686548297,0.177885815,-0.109483351,-0.216513437
0.397790591,0.122333417,0.423404692,0.08087859,0.834972667,0.552491676,0.832174999,0.119214848
-0.9894477,-1.066113307,-0.917219588,-0.795635572,-0.306168056,-0.52384255,-0.955688963,-1.06154821
1.321004769,-0.095753038,1.076674902,-1.463829585,0.834972667,-0.990492329,0.967089532,-0.097461612
1.813227512,-0.214877628,2.557840611,1.03273045,-0.306168056,2.516656515,2.912412559,-0.216513437
-1.103719289,-1.013445613,-0.905281367,-0.493571355,0.834972667,-0.514257939,-0.828623924,-1.009221028
0.437134393,-0.79803776,-0.787982057,-1.806987091,0.834972667,-0.990492329,-0.68714788,-0.795205852
-1.175021538,-0.048123872,-1.063546228,-1.248089814,-0.306168056,-0.641322424,-1.07158387,-0.050140384
-1.381050572,0.212742703,-1.14601443,-1.336554534,-1.44730878,-0.990492329,-1.059211354,0.20903961
-0.269487454,-1.460298481,0.123319627,0.345702013,0.834972667,0.411723481,0.156735534,-1.453184858
-1.004755527,-1.270815363,-0.673156071,-0.19407547,0.834972667,-0.276924554,-0.55081664,-1.264926806
-0.016371184,-0.696104456,-0.27556605,0.593973972,0.834972667,0.142363,-0.195703825,-0.693931578
0.531264104,1.071273481,0.467775136,0.134813533,0.834972667,0.588114982,0.679506991,1.062019729
0.064778205,-0.340479097,-0.303145811,0.566007705,0.834972667,-0.990492329,-0.314178592,-0.340605443
-0.337477482,-0.108396729,0.012074753,0.901174849,0.834972667,0.408826957,0.182148282,-0.110023559
-0.461059095,-0.817967939,-0.374843332,1.747154414,-0.686548297,-0.018997765,-0.140002211,-0.815007176
0.089843653,-0.547403273,0.407397716,-0.244585971,0.834972667,0.539640266,-0.034194153,-0.546191793
-0.228263743,-0.805229506,0.073070461,-0.973563809,0.834972667,-0.990492329,-0.158980442,-0.802351101
-0.615972518,0.359333732,-0.522659907,0.682866748,0.834972667,-0.146802592,-0.549203012,0.354682885
-1.190105567,-1.039292833,-1.289107333,0.917726313,0.834972667,-1.011320283,-1.185176899,-1.034901138
0.67243629,0.056944516,0.535934756,-0.265560671,0.834972667,0.768478389,0.422279354,0.054248706
0.346137864,0.021244174,0.45703602,-0.397116272,0.834972667,-0.990492329,0.2113503,0.018779178
-0.725812894,-1.526772603,-0.855326745,1.726465084,-0.686548297,-0.394714242,-0.90982475,-1.519229205
0.064957244,1.33953851,0.120654554,-1.710532008,-0.306168056,-0.990492329,0.08593207,1.328550344
0.511032706,2.478960784,0.180909093,-0.088488545,-1.44730878,-0.990492329,0.620149045,2.460605909
0.981546981,1.43698451,1.351203359,-1.467539395,-0.306168056,-0.990492329,0.66486113,1.425366326
1.0478809,1.212481468,2.464312418,0.399066216,0.834972667,2.435790266,2.110959021,1.202314763
-0.791788735,0.005000303,-0.988766715,-0.000879934,0.834972667,-0.486852396,-0.932419972,0.002640328
